,0,1,US,Italy,China,Spain,Germany,France,Iran,United Kingdom,Switzerland,Netherlands,Belgium,"Korea, South",Turkey,Austria,Canada
0,95,1,45.0,74.0,95,57.0,37.0,13.0,143.0,43.0,54.0,77.0,31.0,229.0,167.0,64.0,5.0
1,277,1,140.0,93.0,277,37.0,66.0,84.0,205.0,67.0,69.0,56.0,39.0,169.0,311.0,56.0,54.0
2,486,1,116.0,131.0,486,141.0,220.0,92.0,385.0,48.0,37.0,61.0,28.0,231.0,566.0,202.0,163.0
3,669,1,65.0,202.0,669,100.0,188.0,276.0,523.0,62.0,117.0,121.0,47.0,144.0,293.0,151.0,63.0
4,802,1,376.0,233.0,802,173.0,129.0,303.0,835.0,75.0,161.0,0.0,0.0,284.0,343.0,205.0,179.0
5,2632,1,322.0,240.0,2632,400.0,241.0,177.0,586.0,0.0,0.0,303.0,245.0,505.0,561.0,158.0,143.0
6,578,1,382.0,566.0,578,622.0,136.0,83.0,591.0,343.0,487.0,156.0,130.0,571.0,1196.0,314.0,143.0
7,2054,1,516.0,342.0,2054,582.0,281.0,575.0,1234.0,342.0,220.0,176.0,197.0,813.0,2069.0,314.0,334.0
8,1661,1,548.0,466.0,1661,0.0,451.0,499.0,1076.0,1.0,841.0,278.0,172.0,586.0,1704.0,367.0,192.0
9,2089,1,772.0,587.0,2089,2955.0,170.0,0.0,743.0,406.0,0.0,295.0,185.0,599.0,1815.0,375.0,619.0
10,4739,1,1133.0,769.0,4739,1159.0,1597.0,1388.0,595.0,409.0,500.0,347.0,243.0,851.0,,426.0,702.0
11,3086,1,1789.0,778.0,3086,1407.0,910.0,815.0,881.0,682.0,328.0,409.0,309.0,435.0,,768.0,461.0
12,3991,1,1362.0,1247.0,3991,2144.0,1210.0,36.0,958.0,74.0,1047.0,536.0,462.0,467.0,,892.0,791.0
13,3733,1,5894.0,1492.0,3733,1806.0,1477.0,2151.0,1075.0,1298.0,1219.0,637.0,558.0,505.0,,809.0,640.0
14,3147,1,5423.0,1797.0,3147,2162.0,1985.0,1032.0,1289.0,1053.0,1281.0,577.0,586.0,448.0,,305.0,894.0
15,3523,1,6389.0,977.0,3523,4053.0,3070.0,1409.0,1365.0,678.0,899.0,547.0,342.0,273.0,,1321.0,704.0
16,2704,1,7787.0,2313.0,2704,2447.0,2993.0,1846.0,1209.0,981.0,1321.0,816.0,526.0,164.0,,748.0,
17,3015,1,10571.0,0.0,3015,4964.0,4528.0,1788.0,1053.0,1438.0,1082.0,858.0,668.0,35.0,,614.0,
18,2525,1,9893.0,5198.0,2525,3394.0,2365.0,1705.0,1178.0,1476.0,1020.0,1030.0,1298.0,242.0,,517.0,
19,2032,1,12038.0,3497.0,2032,6368.0,2660.0,1780.0,1192.0,2172.0,914.0,1179.0,1049.0,114.0,,,
20,373,1,18058.0,3590.0,373,4749.0,4183.0,3880.0,1046.0,2933.0,1117.0,1172.0,1850.0,110.0,,,
21,15136,1,17821.0,3233.0,15136,9630.0,3930.0,2499.0,1237.0,2567.0,1148.0,1111.0,1702.0,107.0,,,
22,6463,1,19821.0,3526.0,6463,8271.0,4337.0,2978.0,966.0,2468.0,753.0,,,76.0,,,
23,2055,1,19408.0,4207.0,2055,7933.0,6615.0,3951.0,1028.0,,,,,74.0,,,
24,2100,1,,5322.0,2100,7516.0,6933.0,3851.0,1411.0,,,,,84.0,,,
25,1921,1,,5986.0,1921,6875.0,6824.0,4703.0,1762.0,,,,,93.0,,,
26,1777,1,,6557.0,1777,,4400.0,2603.0,2206.0,,,,,152.0,,,
27,408,1,,5560.0,408,,,,2389.0,,,,,87.0,,,
28,458,1,,4789.0,458,,,,2926.0,,,,,147.0,,,
29,473,1,,5249.0,473,,,,3076.0,,,,,162.0,,,
30,1451,1,,5210.0,1451,,,,2901.0,,,,,0.0,,,
31,21,1,,6203.0,21,,,,,,,,,76.0,,,
32,219,1,,5909.0,219,,,,,,,,,100.0,,,
33,513,1,,5974.0,513,,,,,,,,,104.0,,,
34,412,1,,5217.0,412,,,,,,,,,91.0,,,
35,434,1,,,434,,,,,,,,,146.0,,,
36,328,1,,,328,,,,,,,,,105.0,,,
37,428,1,,,428,,,,,,,,,,,,
38,576,1,,,576,,,,,,,,,,,,
39,204,1,,,204,,,,,,,,,,,,
40,125,1,,,125,,,,,,,,,,,,
41,125,1,,,125,,,,,,,,,,,,
42,151,1,,,151,,,,,,,,,,,,
43,153,1,,,153,,,,,,,,,,,,
44,80,1,,,80,,,,,,,,,,,,
45,53,1,,,53,,,,,,,,,,,,
46,37,1,,,37,,,,,,,,,,,,
47,27,1,,,27,,,,,,,,,,,,
48,34,1,,,34,,,,,,,,,,,,
49,11,1,,,11,,,,,,,,,,,,
50,13,1,,,13,,,,,,,,,,,,
51,32,1,,,32,,,,,,,,,,,,
52,26,1,,,26,,,,,,,,,,,,
53,30,1,,,30,,,,,,,,,,,,
54,25,1,,,25,,,,,,,,,,,,
55,44,1,,,44,,,,,,,,,,,,
56,54,1,,,54,,,,,,,,,,,,
57,94,1,,,94,,,,,,,,,,,,
58,55,1,,,55,,,,,,,,,,,,
59,130,1,,,130,,,,,,,,,,,,
60,63,1,,,63,,,,,,,,,,,,
61,93,1,,,93,,,,,,,,,,,,
62,70,1,,,70,,,,,,,,,,,,
63,121,1,,,121,,,,,,,,,,,,
64,115,1,,,115,,,,,,,,,,,,
65,102,1,,,102,,,,,,,,,,,,
66,123,1,,,123,,,,,,,,,,,,
