,Name,Code,code,active,confirmed,recovered,death,complete,solved death rate,lowest possible death rate,uncomplete
United States,United States,US / USA,USA,135754.0,140886.0,2665.0,2467.0,0.0192531372138218,0.48070927513639905,0.017510611416322416,0.9807468627861782
Italy,Italy,IT / ITA,ITA,73880.0,97689.0,13030.0,10779.0,0.14992520998734324,0.45272796001512033,0.1103399563922243,0.8500747900126567
China,China,CN / CHN,CHN,3236.0,82122.0,75582.0,3304.0,0.9589433885660635,0.04188322389270593,0.04023282433452668,0.04105661143393646
Spain,Spain,ES / ESP,ESP,58598.0,80110.0,14709.0,6803.0,0.20064932407546346,0.31624209743399034,0.0849207339907627,0.7993506759245366
Germany,Germany,DE / DEU,DEU,52351.0,62095.0,9211.0,533.0,0.14962151976868848,0.05470032840722496,0.008583621869715757,0.8503784802313115
France,France,FR / FRA,FRA,30871.0,40708.0,7226.0,2611.0,0.18967372759009896,0.26542645115380703,0.06413972683502014,0.8103262724099011
Iran,Iran,IR / IRN,IRN,23278.0,38309.0,12391.0,2640.0,0.3473884886035493,0.1756370168318808,0.06891331018820643,0.6526115113964507
United Kingdom,United Kingdom,GB / GBR,GBR,18398.0,19780.0,151.0,1231.0,0.008140600571459378,0.8907380607814761,0.06223458038422649,0.9918593994285406
Switzerland,Switzerland,CH / CHE,CHE,12934.0,14829.0,1595.0,300.0,0.10978043912175649,0.158311345646438,0.020230629172567266,0.8902195608782435
Netherlands,Netherlands,NL / NLD,NLD,9905.0,10930.0,253.0,772.0,0.024906477653081315,0.7531707317073171,0.07063129002744739,0.9750935223469187
Belgium,Belgium,BE / BEL,BEL,9046.0,10836.0,1359.0,431.0,0.13061028351753964,0.24078212290502793,0.039774824658545586,0.8693897164824603
South Korea,South Korea,KR / KOR,KOR,4398.0,9583.0,5033.0,152.0,0.5336655709892907,0.02931533269045323,0.015861421266826672,0.4663344290107093
Turkey,Turkey,TR / TUR,TUR,8981.0,9217.0,105.0,131.0,0.011556240369799691,0.5550847457627118,0.014212867527395031,0.9884437596302003
Austria,Austria,AT / AUT,AUT,8223.0,8788.0,479.0,86.0,0.05504481728338313,0.15221238938053097,0.00978607191624943,0.9449551827166168
Canada,Canada,CA / CAN,CAN,5750.0,6280.0,466.0,64.0,0.07496782496782496,0.12075471698113208,0.01019108280254777,0.925032175032175
